date,value,value_classification
2025-09-30,43,Neutral
2025-09-29,39,Fear
2025-09-28,34,Fear
2025-09-27,34,Fear
2025-09-26,32,Fear
2025-09-25,41,Neutral
2025-09-24,39,Fear
2025-09-23,40,Neutral
2025-09-22,47,Neutral
2025-09-21,48,Neutral
2025-09-20,48,Neutral
2025-09-19,52,Neutral
2025-09-18,51,Neutral
2025-09-17,51,Neutral
2025-09-16,50,Neutral
2025-09-15,51,Neutral
2025-09-14,52,Neutral
2025-09-13,53,Neutral
2025-09-12,50,Neutral
2025-09-11,47,Neutral
2025-09-10,43,Neutral
2025-09-09,44,Neutral
2025-09-08,42,Neutral
2025-09-07,40,Neutral
2025-09-06,41,Neutral
2025-09-05,41,Neutral
2025-09-04,44,Neutral
2025-09-03,42,Neutral
2025-09-02,39,Fear
2025-09-01,39,Fear
2025-08-31,40,Neutral
2025-08-30,39,Fear
2025-08-29,47,Neutral
2025-08-28,45,Neutral
2025-08-27,47,Neutral
2025-08-26,43,Neutral
2025-08-25,50,Neutral
2025-08-24,53,Neutral
2025-08-23,56,Neutral
2025-08-22,46,Neutral
2025-08-21,50,Neutral
2025-08-20,45,Neutral
2025-08-19,53,Neutral
2025-08-18,56,Neutral
2025-08-17,57,Neutral
2025-08-16,57,Neutral
2025-08-15,59,Neutral
2025-08-14,68,Greed
2025-08-13,63,Greed
2025-08-12,60,Greed
2025-08-11,62,Greed
2025-08-10,59,Neutral
2025-08-09,58,Neutral
2025-08-08,59,Neutral
2025-08-07,54,Neutral
2025-08-06,52,Neutral
2025-08-05,55,Neutral
2025-08-04,52,Neutral
2025-08-03,48,Neutral
2025-08-02,51,Neutral
2025-08-01,57,Neutral
2025-07-31,62,Greed
2025-07-30,63,Greed
2025-07-29,63,Greed
2025-07-28,67,Greed
2025-07-27,64,Greed
2025-07-26,64,Greed
2025-07-25,66,Greed
2025-07-24,67,Greed
2025-07-23,70,Greed
2025-07-22,67,Greed
2025-07-21,67,Greed
2025-07-20,68,Greed
2025-07-19,69,Greed
2025-07-18,71,Greed
2025-07-17,70,Greed
2025-07-16,68,Greed
2025-07-15,70,Greed
2025-07-14,70,Greed
2025-07-13,68,Greed
2025-07-12,69,Greed
2025-07-11,67,Greed
2025-07-10,58,Neutral
2025-07-09,52,Neutral
2025-07-08,50,Neutral
2025-07-07,52,Neutral
2025-07-06,50,Neutral
2025-07-05,51,Neutral
2025-07-04,55,Neutral
2025-07-03,54,Neutral
2025-07-02,46,Neutral
2025-07-01,50,Neutral
2025-06-30,52,Neutral
2025-06-29,50,Neutral
2025-06-28,49,Neutral
2025-06-27,49,Neutral
2025-06-26,50,Neutral
2025-06-25,48,Neutral
2025-06-24,47,Neutral
2025-06-23,37,Fear
2025-06-22,40,Neutral
2025-06-21,43,Neutral
2025-06-20,48,Neutral
2025-06-19,48,Neutral
2025-06-18,48,Neutral
2025-06-17,53,Neutral
2025-06-16,51,Neutral
2025-06-15,50,Neutral
2025-06-14,52,Neutral
2025-06-13,54,Neutral
2025-06-12,61,Greed
2025-06-11,65,Greed
2025-06-10,64,Greed
2025-06-09,55,Neutral
2025-06-08,55,Neutral
2025-06-07,52,Neutral
2025-06-06,46,Neutral
2025-06-05,55,Neutral
2025-06-04,57,Neutral
2025-06-03,58,Neutral
2025-06-02,57,Neutral
2025-06-01,56,Neutral
2025-05-31,55,Neutral
2025-05-30,61,Greed
2025-05-29,65,Greed
2025-05-28,68,Greed
2025-05-27,68,Greed
2025-05-26,69,Greed
2025-05-25,67,Greed
2025-05-24,67,Greed
2025-05-23,76,Greed
2025-05-22,73,Greed
2025-05-21,69,Greed
2025-05-20,68,Greed
2025-05-19,71,Greed
2025-05-18,66,Greed
2025-05-17,68,Greed
2025-05-16,69,Greed
2025-05-15,71,Greed
2025-05-14,74,Greed
2025-05-13,71,Greed
2025-05-12,73,Greed
2025-05-11,75,Greed
2025-05-10,71,Greed
2025-05-09,70,Greed
2025-05-08,53,Neutral
2025-05-07,53,Neutral
2025-05-06,50,Neutral
2025-05-05,49,Neutral
2025-05-04,53,Neutral
2025-05-03,56,Neutral
2025-05-02,55,Neutral
2025-05-01,51,Neutral
2025-04-30,52,Neutral
2025-04-29,53,Neutral
2025-04-28,51,Neutral
2025-04-27,53,Neutral
2025-04-26,53,Neutral
